Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,0.8185022857841816,0.1762721718993021
0.025,0.8187605241445821,0.17535778111910824
0.05,0.8160575835454246,0.18543271411003284
0.075,0.8113378115494791,0.21536897268284108
0.1,0.8074984398196542,0.23870893269315988
0.125,0.805708290680153,0.22794108669354998
0.15,0.7992727919489403,0.22450992742788292
0.175,0.7789748585160919,0.26391922144668545
0.2,0.7488831145452225,0.30490001871767036
0.225,0.7198412774008481,0.3117884373666282
0.25,0.6904319802811234,0.31909129654736695
0.275,0.6579821859851379,0.3582885889806675
0.3,0.625966022150323,0.40361823220154924
0.325,0.5943091242547902,0.4349366921454936
0.35,0.5608924070243718,0.46618571516833396
0.375,0.5146878687656538,0.503696315379692
0.4,0.43857339491453345,0.5404113281017867
0.425,0.31982470389035467,0.5909512763617834
0.45,0.17713521121284695,0.6557275150033622
0.475,0.03751928758226871,0.7179269561872932
0.5,-0.10110667083667461,0.7750851626162768
0.525,-0.25349269764603755,0.8302036050156711
0.55,-0.4192666243829015,0.8735845325920342
0.575,-0.5955639168347991,0.8955442222783925
0.6,-0.7900367624148924,0.9029316600644084
0.625,-1.0050338664786063,0.9219524260302298
0.65,-1.2421982547221575,0.951654428288194
0.675,-1.502585550045225,0.9719949176309282
0.7,-1.7763524810084654,0.9691365908069337
0.725,-2.055396681024917,0.9422227914607343
0.75,-2.3418991993821625,0.8982937318396527
0.775,-2.6271113997253623,0.8454230525066442
0.8,-2.9058325423350606,0.789526657112496
0.825,-3.182005729275894,0.7317582246492894
0.85,-3.4508486425724145,0.6783305326217842
0.875,-3.692412741329612,0.6320981631421388
0.9,-3.8918333003790018,0.584881024749256
0.925,-4.053135330664654,0.4796499636682032
0.95,-4.198034347836973,0.28186289749763166
0.975,-4.356859573947351,0.03012242531685796
1.0,-4.533183567367962,-0.2304914349674788
1.025,-4.719166110458828,-0.44624293286696765
1.05,-4.903227883571606,-0.5766813172333344
1.075,-5.059553385788226,-0.6492747866632198
1.1,-5.164848266793417,-0.7158261206929154
1.125,-5.217056396104313,-0.7937576736043314
1.15,-5.225279967946167,-0.8369920216807594
1.175,-5.1896231600497424,-0.8044327845540915
1.2,-5.099021036861592,-0.7066978189085886
1.225,-4.935944141288854,-0.5777855924501392
1.25,-4.707554218922938,-0.44156866829821434
1.275,-4.451094909802853,-0.31800279045721586
1.3,-4.223796453965794,-0.20754647962392944
1.325,-4.049315952453089,-0.12584466452609594
1.35,-3.9432737975967074,-0.09299373599725635
1.375,-3.9316547621117808,-0.1297478042528325
1.4,-4.0113851510286835,-0.273430454607483
1.425,-4.140188226741404,-0.5154835011723803
1.45,-4.27605384509559,-0.7795444686131214
1.475,-4.387264547085019,-1.0162034140944451
1.5,-4.462852388177089,-1.2710435014883397
1.525,-4.508178728101332,-1.6560466766088238
1.55,-4.530545741787516,-2.2168421802964455
1.575,-4.617749100929252,-2.8878174421294664
1.6,-4.965400009852644,-3.5386892237281966
1.625,-5.757502273828466,-4.050468366756443
1.65,-7.078583392415683,-4.412897332500536
1.675,-8.897965331772467,-4.683321936592106
1.7,-11.046040041878669,-4.923686442153663
1.725,-13.251190867086144,-5.1444996372474705
1.75,-15.291360666633249,-5.255780595126225
1.775,-17.040950471205587,-5.129422558568758
1.8,-18.466435029805634,-4.653350061813475
1.825,-19.655509920276867,-3.723617832155467
1.85,-20.73789517935559,-2.365190900834274
1.875,-21.797492604821098,-0.825731031240667
1.9,-22.821917960161638,0.5631526888010167
1.925,-23.737950717756775,1.5812537541301943
1.95,-24.475768212049033,2.145630280620585
1.975,-24.97070096451773,2.244921932935154
2.0,-25.136117626511776,1.9520672769522094
2.025,-24.91028029417817,1.4404758218905138
2.05,-24.283405863253353,0.9265977220112042
2.075,-23.293208134522644,0.5557351719852998
2.1,-21.976242948130224,0.3361932771599167
2.125,-20.365450573389996,0.18704663239344022
2.15,-18.495489608619536,0.04685096516895586
2.175,-16.37076715920842,-0.10650860401698728
2.2,-14.031225956144224,-0.2849684020471866
2.225,-11.612518398476432,-0.5364307044654286
2.25,-9.265542612774924,-0.9308661154941077
2.275,-7.051135973718165,-1.458316542379583
2.3,-4.962758066325732,-1.9723118342648287
2.325,-3.0150638566229238,-2.352421000473635
2.35,-1.2017658351149094,-2.5122934569467232
2.375,0.4167091740270201,-2.415839453156907
2.4,1.714492902454928,-2.167275285668995
2.425,2.6065159045424595,-1.948349533757312
2.45,3.04398898223737,-1.859583459059956
2.475,3.024675659051635,-1.830695419468459
2.5,2.621313262020722,-1.691331552884938
2.525,1.9467127809399107,-1.3349016886532086
2.55,1.0831670991992186,-0.7836919508480542
2.575,0.061686095768240454,-0.14382285154741248
2.6,-1.0925130041706446,0.4867715833202056
2.625,-2.36925260650996,1.0815794514902128
2.65,-3.7900169410889815,1.6107096741477833
2.675,-5.391699987356612,2.099045033468715
2.7,-7.199550352261929,2.5689627138295794
2.725,-9.160425672142098,2.994514489825828
2.75,-11.168604508870645,3.3365271273364305
2.775,-13.127022013723296,3.563687093152851
2.8,-14.952361461406023,3.649440820107213
2.825,-16.599792555131447,3.65256458856581
2.85,-18.09666109054218,3.6834705124245044
2.875,-19.492284794237463,3.7549323299946535
2.9,-20.771577203664794,3.74454005116244
2.925,-21.85559431273851,3.479140178027837
2.95,-22.640029465167924,2.888915019699069
2.975,-23.047632903435897,2.0523177457916417
3.0,-22.949636734768212,1.0157531705470018
3.025,-22.210110191607086,-0.18053993245991706
3.05,-20.876639209869452,-1.3589169077213215
3.075,-19.16449090220685,-2.0985964243756303
3.1,-17.299872024605058,-2.1061925442536333
3.125,-15.478807664003984,-1.5215572519133522
3.15,-13.904809123304055,-0.7896578232667429
3.175,-12.618056138764139,-0.30015758158468364
3.2,-11.418658215546747,-0.19424714182779254
3.225,-10.156487547139735,-0.3717291230178575
3.25,-8.913722556721694,-0.54516549379567
3.275,-7.897855227207807,-0.35289386012161506
3.3,-7.2823905199498045,0.3963103875597102
3.325,-7.110721636116136,1.5537177493896976
3.35,-7.3189680576256055,2.7245084005836944
3.375,-7.767189775210539,3.5427491568144296
3.4,-8.312540273964375,3.808774424613317
3.425,-8.836681722045828,3.5365282462709695
3.45,-9.252587435038874,2.9261225307317456
3.475,-9.512667741302925,2.2808603772465905
3.5,-9.614475060784082,1.8752265527410936
3.525,-9.589476002548023,1.8132317365742656
3.55,-9.451581719804937,2.0192902282273377
3.575,-9.150611029073419,2.3023429152807537
3.6,-8.607963343144363,2.4809129937839485
3.625,-7.838928841048314,2.461897163245763
3.65,-6.9321922399241735,2.2771419858238904
3.675,-5.962608792803269,2.093475131366273
3.7,-5.005622733757422,2.1014504967461383
3.725,-4.130493350307101,2.398120471822777
3.75,-3.3731076402321527,2.9322870703031585
3.775,-2.7518576561852104,3.4873390927809274
3.8,-2.2709513548356033,3.8111545619851026
3.825,-1.9809014854149452,3.852000920015194
3.85,-1.955606797383276,3.7792750336991014
3.875,-2.216362815792069,3.801685672506501
3.9,-2.731684200671072,3.9695540758213177
3.925,-3.4324745165041444,4.225929017532819
3.95,-4.243078284242181,4.545719434837491
3.975,-5.11315010151147,4.908803204934823
4.0,-6.027078600693876,5.27598720129587
4.025,-7.028173012322336,5.603961048053519
4.05,-8.217157812570365,5.900358473618481
4.075,-9.638024635433498,6.157842072894422
4.1,-11.197406035191646,6.4538178479150785
4.125,-12.77260286078843,6.74978901261361
4.15,-14.233453984710787,6.909968069084815
4.175,-15.485764825445871,6.885940832544141
4.2,-16.50865611409305,6.709406528501605
4.225,-17.340990569374753,6.432362590543547
4.25,-18.012005275755936,6.150380932544138
4.275,-18.496151936883365,5.8211894210691595
4.3,-18.77519765956511,5.268711728505813
4.325,-18.839593557227513,4.449191591150554
4.35,-18.665695830137462,3.482582022226985
4.375,-18.14710000833651,2.3683225915300428
4.4,-17.14095599893233,1.160109244075639
4.425,-15.663396821509123,0.10356667398688797
4.45,-13.98142352389382,-0.5042890180710631
4.475,-12.385782276442098,-0.5235657456031029
4.5,-11.050020282891426,-0.1153442832309517
4.525,-10.016148453212404,0.3698625234941466
4.55,-9.207213466049293,0.6409544105074544
4.575,-8.501002888350195,0.647055777300966
4.6,-7.86152302127388,0.5614250997943067
4.625,-7.372160348226547,0.6686606994597
4.65,-7.16184458607132,1.2124522133343922
4.675,-7.300214215309139,2.219884289926242
4.7,-7.747026337105002,3.474319633386915
4.725,-8.401013631543753,4.630977811355424
4.75,-9.142537685302475,5.369440599092983
4.775,-9.8406996699759,5.556601141395368
4.8,-10.420437992250898,5.292250512180117
4.825,-10.838339461760027,4.785996834494539
4.85,-11.074674122710732,4.259229466101758
4.875,-11.142473898093836,3.8436442873792243
4.9,-11.035775244284837,3.545628279480586
4.925,-10.740572818834853,3.3010163273558724
4.95,-10.24065192520695,3.055298709266101
4.975,-9.557487048236402,2.789257115115347
5.0,-8.767043374306391,2.4961346064559473
5.025,-7.957049178482979,2.126945137694714
5.05,-7.170747054190394,1.610006754421502
5.075,-6.412679357048974,0.9437809526912173
5.1,-5.627282935247914,0.30090869826862743
5.125,-4.683965492158391,-0.05278624637001919
5.15,-3.5235754028702253,0.04721466358152144
5.175,-2.1640903137649463,0.5173497573218867
5.2,-0.7603934627412603,1.0993677557104804
5.225,0.40672215367627074,1.5629572700422796
5.25,1.10717526859993,1.7420940359192558
5.275,1.220534714165053,1.5852934324656935
5.3,0.7203074972857559,1.2931455177190827
5.325,-0.3344773745179829,1.1992112130111374
5.35,-1.7893979902317556,1.4432004883468115
5.375,-3.436098569606923,1.9517140927930081
5.4,-5.106327477053003,2.5922942503720177
5.425,-6.723369388706234,3.2279855947508858
5.45,-8.278296913724246,3.7731047440061056
5.475,-9.837822406599402,4.239979425418508
5.5,-11.478095049692254,4.705952361373673
5.525,-13.203543141280605,5.167352400336616
5.55,-14.921215573519868,5.532717602776301
5.575,-16.480768812698972,5.731337840215717
5.6,-17.72427566977731,5.748881134045506
5.625,-18.583812360809727,5.570214230964216
5.65,-19.09229009863356,5.222537910496033
5.675,-19.28076489336235,4.729607617053692
5.7,-19.160693084366244,4.111072136062635
5.725,-18.799640347233243,3.455753377315985
5.75,-18.264563302423483,2.9059188360433974
5.775,-17.52137780002756,2.4516361538534746
5.8,-16.47004475203091,1.8425269606009276
5.825,-15.068125235852275,0.7890867676122072
5.85,-13.355993027206834,-0.701780504587887
5.875,-11.358435952096468,-2.3075045200886404
5.9,-9.015973685296178,-3.7359433701298923
5.925,-6.480030136496326,-4.690394165623409
5.95,-4.184758423563675,-4.831062639286622
5.975,-2.5100198210586675,-3.9826508608517086
6.0,-1.5176425311214938,-2.445585704461509
6.025,-0.9913436133155012,-0.9321684332788983
6.05,-0.727084692182276,-0.05106302378085394
6.075,-0.7360917584331669,0.09329333552093169
6.1,-1.1103945801407775,-0.12843937752824633
6.125,-1.8512427148133364,-0.3338452486638151
