0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElbowFlexion,-160.662942788,-160.866511624,-161.089863971,-161.836585476,-162.550786027,-163.045114772,-162.874573546,-162.130061781,-161.329431713,-161.14883241,-159.896023697,-158.767549375,-158.577867805,-158.551313658,-158.502054377,-159.20305597,-160.036705781,-160.575433948,-159.68019584,-159.483261027,-159.097272979,-158.163931382,-157.620670415,-157.692244874,-156.708667445,-156.538218929,-158.446623896,-159.101010239,-159.786822333,-159.906780211
ElbowSupination,-152.600084701,-152.332056649,-152.559158153,-152.952481119,-152.481764838,-152.220538877,-152.347189382,-153.422364716,-154.729081474,-155.831911177,-156.409016987,-156.977842794,-157.534894441,-157.98681087,-158.187680715,-157.787608321,-157.433651817,-157.490076044,-158.328299548,-158.924960569,-159.472315615,-159.70530774,-159.527267293,-158.998895794,-158.169230317,-157.0612335,-156.034554287,-155.026411989,-154.886281227,-154.479568276
ShoulderFlexion,-3.01718155754,-3.25639481066,-2.76676509828,-2.4076281031,-2.25099355201,-2.54876601884,-2.77358394588,-2.97023235402,-3.1306292373,-2.98290306377,-3.22377836767,-3.14099246444,-3.13683729206,-3.65132853284,-4.39566637533,-5.00307606546,-5.54791433336,-4.65161610913,-4.45313181773,-4.10205217133,-4.14353004156,-4.3356730899,-4.59953024103,-5.09516321289,-4.8107844148,-4.15308400261,-3.23577510944,-2.86619272257,-2.66954337566,-2.63840308629
ShoulderAbduction,-3.51238846689,-3.47992184278,-3.43725701829,-3.71084349305,-3.71423364061,-3.54451377229,-3.43949913501,-3.50602707861,-3.45958905458,-3.18459344528,-3.0893404348,-3.28584722199,-3.56449692168,-3.66070522232,-3.55092036635,-3.36241914346,-3.34395494903,-2.90608686495,-3.05332459286,-3.32746088439,-3.42670079491,-3.35163993572,-3.44427398527,-3.46604714806,-3.48542828675,-3.41155667791,-3.48594208732,-3.56777365838,-3.72893577169,-3.77994460477
ShoulderRotation,-35.8640551659,-36.258416182,-36.6876743273,-36.9293134551,-37.2002551456,-37.1724029315,-37.1337934451,-36.7419586301,-36.4184896159,-35.9694022439,-35.5725581933,-35.2817445432,-35.1979585902,-35.0086885177,-34.8378835456,-34.5561082306,-34.4784970549,-35.0881924104,-34.5541031943,-34.1065287087,-33.7605233622,-33.5964436835,-33.4929207918,-34.3513994853,-34.2974219206,-34.3873173007,-34.957864746,-34.9063426718,-34.6866404328,-34.851206557
