0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElbowFlexion,-146.722644497,-146.94689994,-148.024838466,-150.377217982,-152.730123463,-156.647304522,-161.770224696,-168.237589833,-175.84918797,-183.250900027,-189.461416267,-193.698581158,-196.095297264,-196.980183759,-195.808387101,-193.524148061,-192.168476203,-190.668340315,-188.096452433,-183.623729026,-178.253561231,-172.746924838,-168.154986778,-164.49167365,-161.92154261,-158.955927116,-155.480139999,-152.700732565,-148.292722038,-148.167941288
ElbowSupination,-3.82508596765,-4.32348968503,-4.70037048814,-4.93549349632,-4.66304395645,-4.13882144171,-3.34270041914,-1.99890438576,0.20658473225,2.15039960225,1.89151321284,2.06990871296,2.04989341625,-0.043483538817,-3.39542467844,-5.58736808445,-6.0320585956,-4.77616320883,-3.0653414131,-1.19902862431,-0.335881440484,-0.335174069206,-0.188821146306,-0.197294066556,-0.2587418664,-0.654917892822,-1.93312768643,-3.46419586116,-4.74044944853,-4.74692830745
ShoulderFlexion,-2.62876013278,-2.04792103748,-1.42524475665,-1.37425991566,-1.72085900834,-2.5488474333,-3.55182638768,-4.20445001522,-4.28508816851,-4.40691155307,-5.13914233011,-6.42515280584,-8.13659809347,-9.88111039985,-11.7496812941,-13.0023126227,-12.5877151372,-11.2543072886,-9.2913853578,-7.1909768128,-6.13650381445,-5.54892402497,-5.26657239047,-4.80222472493,-4.30670514273,-4.01768934659,-4.31053491524,-4.70974247985,-3.52454927117,-3.15621841344
ShoulderAbduction,-8.31504271487,-8.18706693686,-8.40791539779,-8.5543682036,-8.73769052309,-9.08579807332,-9.62796521734,-10.1824460814,-10.6410288996,-11.0596177129,-11.8638693909,-12.2232382827,-13.1329338202,-14.8803403512,-16.4930835936,-17.4863499898,-17.7773461355,-17.138941214,-15.9091023655,-13.7976759033,-12.4199883739,-11.7347849594,-10.9940648669,-10.1751581008,-9.66693252345,-9.20512320844,-9.01864681689,-9.13427417968,-9.08166554067,-8.81189163016
ShoulderRotation,-13.4726926578,-13.3755310072,-13.1570059072,-13.74032173,-14.2724017338,-15.0528650756,-16.1760519229,-17.7191429766,-18.8191798116,-19.6528269429,-19.9748048032,-20.0954618796,-19.9547930527,-19.6098350793,-19.4207764798,-19.4063077894,-19.0087678814,-18.4975097043,-17.8916308085,-17.5659087783,-17.1508701524,-17.0855057881,-17.1261339673,-16.6612116609,-15.8014494343,-15.0462096481,-14.3768790111,-13.8106066816,-13.6831494569,-13.4142348165
