0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElbowFlexion,-116.663312087,-116.730806725,-115.730439579,-115.058660491,-114.650112353,-114.20615543,-113.411175916,-112.332262403,-112.189437325,-112.947327973,-114.024036556,-118.151871508,-122.637310614,-126.91436369,-130.114934097,-131.833316215,-132.74481918,-133.12467901,-133.03296897,-132.78793616,-131.716178397,-130.55606821,-129.119680934,-126.781147996,-124.05849776,-122.087009696,-121.870844971,-122.15422601,-121.892054661,-120.966659745
ElbowSupination,90.7684857528,88.7073195083,87.7130278622,88.0225763229,88.4271355821,88.1810293846,86.7419777987,85.4441888264,84.6499411004,84.333386232,85.1396428319,87.0855137507,88.4158203684,89.2162376543,89.1001958092,87.9016623569,86.7001154683,86.0779459507,86.5635464197,89.7849585978,91.2749853314,91.7139217106,90.7627688523,88.6659474853,87.4152117186,87.2362061542,88.4742138846,90.283149474,91.3602328318,91.5534707891
ShoulderFlexion,-10.3851719841,-10.8604264064,-11.5730768603,-11.1113758373,-9.90601411478,-9.26043175666,-8.85925022544,-9.0908982048,-9.15177030541,-9.46197060998,-9.65366757424,-8.99718138706,-8.70080424985,-8.80608140801,-9.37475767367,-10.1401130795,-10.9840720154,-11.25361595,-10.8194342772,-9.06898630663,-8.30433947707,-7.73463993158,-7.93767833364,-8.77101286474,-10.0622883849,-10.9983020918,-11.0231226449,-10.2555195812,-9.62937872827,-9.66807319508
ShoulderAbduction,-12.1118527834,-13.6317524555,-13.8230219562,-13.4207982341,-12.7623019888,-12.5958308094,-12.9040340389,-13.1435520976,-13.5947795671,-13.9683024909,-13.8012354941,-13.5645131282,-13.5388423239,-13.8726564921,-14.2143292215,-14.6507559151,-15.1107443785,-15.5757151148,-15.6199918875,-15.3444342041,-14.5645906409,-13.6243023188,-13.3745158359,-13.4784084942,-13.7660170634,-14.1924366104,-13.9526448157,-13.2260641016,-12.3828895771,-12.0171211148
ShoulderRotation,-12.7571444764,-13.4393827586,-13.478476588,-12.9529694455,-12.0769433569,-11.9685064058,-12.013696921,-12.3148083408,-12.2668809771,-12.5857148463,-13.0073824189,-14.0850960529,-14.9020620653,-15.7869772809,-16.5533435946,-17.2213446933,-17.7865720438,-17.9011180695,-17.6219705463,-17.7352483848,-17.1781934444,-16.5220618675,-15.8427076575,-15.4624634599,-15.52006352,-15.4523639874,-15.3556590193,-14.8092659005,-13.8552867283,-13.1717746902
