0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElbowFlexion,-184.566015659,-184.663351038,-184.705151448,-184.917862743,-186.159653751,-186.709195074,-187.251356171,-187.209929971,-186.602796498,-185.681080911,-184.326753164,-182.85883273,-181.750849316,-181.588047175,-182.246455319,-183.267461384,-184.253656817,-185.153425102,-184.952872042,-184.884930742,-183.863349556,-182.724712477,-181.891305178,-181.170145577,-180.948805318,-181.92628503,-183.983582192,-185.629423533,-186.832077402,-186.574343449
ElbowSupination,-16.0562777066,-16.263561005,-16.7930487438,-17.3442970698,-15.32719844,-14.6762011247,-14.3335163775,-15.0024457253,-15.5100100636,-15.3567874605,-15.0020032399,-15.0038192374,-15.6155808058,-15.9158704173,-15.7179588457,-15.1001724262,-15.2764132547,-15.0832410643,-14.994823758,-13.5095304002,-13.0911538905,-12.0386110788,-12.4542428538,-13.0488180492,-13.1444427866,-13.8105629682,-14.9466247901,-15.7935410861,-16.1760944824,-16.9736535424
ShoulderFlexion,-485.630471069,-485.162877726,-484.876092239,-484.674497546,-484.237076596,-484.960038171,-485.116728914,-484.41267905,-483.980670766,-483.938169429,-484.626837939,-485.360298652,-485.975372566,-486.617248599,-487.030361205,-486.990721352,-486.297413736,-485.669075405,-485.286964836,-484.725324042,-485.699404721,-486.314802604,-487.003266361,-487.759622074,-488.495939772,-489.302911497,-489.501118491,-485.548148529,-485.453835705,-485.691245387
ShoulderAbduction,-429.490294403,-429.649416504,-429.864043576,-429.951823313,-427.963287924,-428.628048609,-428.445758585,-427.909661524,-427.815538068,-427.879014057,-428.676754988,-429.88077752,-431.134821379,-432.113015514,-432.550501507,-432.348352352,-431.47284358,-430.199834489,-429.237304792,-427.628697039,-428.230714394,-429.088148142,-429.36433548,-430.074607056,-430.688647758,-431.224997604,-431.296921663,-427.798861022,-428.096522965,-428.698089719
ShoulderRotation,-123.517678318,-124.010059644,-123.218179913,-122.933186959,-121.722253255,-123.214547353,-124.996002499,-125.339405244,-124.473383931,-123.153930569,-122.817143296,-121.903824982,-121.486040926,-122.565987459,-124.337953598,-127.054099859,-128.50551888,-129.214416351,-128.81981546,-125.782207131,-125.170698076,-122.890496653,-123.13959653,-123.603075949,-123.844616264,-125.059253371,-126.163647195,-124.656340296,-124.006846715,-123.589480456
